epoch,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,real_val_acc_wP,real_val_acc_wR,real_val_acc_wN,real_val_acc_wB,real_val_acc_wQ,real_val_acc_wK,real_val_acc_bP,real_val_acc_bR,real_val_acc_bN,real_val_acc_bB,real_val_acc_bQ,real_val_acc_bK,real_val_acc_empty
1,0.001,0.0924087715603786,0.9709725422427036,0.005697001036133499,0.9980811403508771,2.547493000464006,0.5329545454545455,1309.3101523569785,0.1,0.23655913978494625,0.0,0.01818181818181818,0.8909090909090909,0.03636363636363636,0.08505154639175258,0.5545454545454546,0.036585365853658534,0.10101010101010101,0.12727272727272726,0.0,0.8468653648509764
2,0.001,0.009536194117047429,0.9970478110599078,0.002864654857726316,0.9990953947368421,2.3212751280177724,0.5346590909090909,1300.5176143459976,0.1,0.3225806451612903,0.0,0.03636363636363636,0.8181818181818182,0.05454545454545454,0.27835051546391754,0.41818181818181815,0.036585365853658534,0.1111111111111111,0.34545454545454546,0.0,0.8088386433710175
3,0.001,0.0054027618477868935,0.9982790898617512,0.0020525550303605805,0.9993695175438596,2.3048313921148127,0.5710227272727273,1301.4901512488723,0.09487179487179487,0.34408602150537637,0.0,0.02727272727272727,0.9818181818181818,0.03636363636363636,0.2912371134020619,0.5363636363636364,0.036585365853658534,0.15151515151515152,0.38181818181818183,0.0,0.8586844809866393
4,0.001,0.0037558144535893277,0.9989079301075269,0.001621737008874908,0.9994791666666667,2.4874016068198466,0.5571022727272728,1296.7981308160815,0.11025641025641025,0.3548387096774194,0.0,0.01818181818181818,0.9090909090909091,0.05454545454545454,0.17268041237113402,0.35454545454545455,0.036585365853658534,0.1919191919191919,0.4,0.0,0.8633093525179856
5,0.001,0.0027351730594197526,0.9991887480798771,0.0011366126598691233,0.9996436403508772,2.4031213825399225,0.5798295454545455,1296.5083860179875,0.06923076923076923,0.44086021505376344,0.0,0.00909090909090909,0.9454545454545454,0.05454545454545454,0.34536082474226804,0.44545454545454544,0.036585365853658534,0.13131313131313133,0.2,0.0,0.8771839671120246
6,0.001,0.002033289720508406,0.9993831605222734,0.0011810356261002309,0.9995888157894737,2.554397695714777,0.5477272727272727,1296.2767918999307,0.09743589743589744,0.1935483870967742,0.0,0.02727272727272727,0.9090909090909091,0.05454545454545454,0.30412371134020616,0.41818181818181815,0.036585365853658534,0.1111111111111111,0.18181818181818182,0.0,0.8365878725590956
7,0.0001,0.0018197370189425898,0.9994719662058372,0.0008459826469350031,0.9997532894736842,2.851789275082675,0.5323863636363636,1299.6397423089948,0.12564102564102564,0.24731182795698925,0.0,0.00909090909090909,0.9818181818181818,0.03636363636363636,0.327319587628866,0.41818181818181815,0.036585365853658534,0.09090909090909091,0.2727272727272727,0.0,0.7939362795477903
8,0.0001,0.0009777593863458404,0.9997239823348695,0.0008883274661808141,0.9997258771929824,2.7148262479088525,0.5457386363636364,1299.2549962829798,0.1076923076923077,0.27956989247311825,0.0,0.03636363636363636,0.9818181818181818,0.05454545454545454,0.37371134020618557,0.38181818181818183,0.036585365853658534,0.12121212121212122,0.16363636363636364,0.0,0.8124357656731758
9,0.0001,0.0008486717256082263,0.9997911866359447,0.0008160251193418701,0.9997807017543859,2.7434911836277354,0.5213068181818182,1295.6408539668191,0.10512820512820513,0.24731182795698925,0.0,0.05454545454545454,0.9636363636363636,0.05454545454545454,0.3324742268041237,0.39090909090909093,0.036585365853658534,0.1414141414141414,0.2,0.0,0.7754367934224049
10,0.0001,0.0007515280724136519,0.9998319892473119,0.0007736653866487087,0.9997807017543859,2.6431138797239826,0.5210227272727272,1295.1734060370363,0.13076923076923078,0.26881720430107525,0.0,0.05454545454545454,0.9636363636363636,0.05454545454545454,0.41237113402061853,0.43636363636363634,0.036585365853658534,0.1414141414141414,0.2,0.0,0.750256937307297
